member_name,reading,party,faction,constituency,election_count,updated_at
工藤彰三,くどう しょうぞう,自由民主党,自由民主党・無所属の会,愛知4,6,2026-05-19
工藤聖子,くどう せいこ,参政党,参政党,（比）南関東,1,2026-05-19
国定勇人,くにさだ いさと,自由民主党,自由民主党・無所属の会,新潟2,3,2026-05-19
國重徹,くにしげ とおる,中道改革連合,中道改革連合・無所属,（比）近畿,5,2026-05-19
国光あやの,くにみつ あやの,自由民主党,自由民主党・無所属の会,茨城6,4,2026-05-19
熊田裕通,くまだ ひろみち,自由民主党,自由民主党・無所属の会,（比）東海,5,2026-05-19
栗原渉,くりはら わたる,自由民主党,自由民主党・無所属の会,福岡5,2,2026-05-19
黒崎祐一,くろさき ゆういち,自由民主党,自由民主党・無所属の会,東京27,1,2026-05-19
黒田征樹,くろだ まさき,日本維新の会,日本維新の会,大阪16,2,2026-05-19
小池正昭,こいけ まさあき,自由民主党,自由民主党・無所属の会,千葉10,2,2026-05-19
小泉進次郎,こいずみ しんじろう,自由民主党,自由民主党・無所属の会,神奈川11,7,2026-05-19
小泉龍司,こいずみ りゅうじ,自由民主党,自由民主党・無所属の会,埼玉11,9,2026-05-19
河野太郎,こうの たろう,自由民主党,自由民主党・無所属の会,神奈川15,11,2026-05-19
高村正大,こうむら まさひろ,自由民主党,自由民主党・無所属の会,山口1,4,2026-05-19
こうらい啓一郎,こうらい けいいちろう,自由民主党,自由民主党・無所属の会,（比）近畿,1,2026-05-19
古賀篤,こが あつし,自由民主党,自由民主党・無所属の会,福岡3,6,2026-05-19
國場幸之助,こくば こうのすけ,自由民主党,自由民主党・無所属の会,沖縄1,6,2026-05-19
輿水恵一,こしみず けいいち,中道改革連合,中道改革連合・無所属,（比）北関東,5,2026-05-19
小寺裕雄,こてら ひろお,自由民主党,自由民主党・無所属の会,（比）近畿,4,2026-05-19
許斐亮太郎,このみ りょうたろう,国民民主党,国民民主党・無所属クラブ,（比）九州,2,2026-05-19
小林茂樹,こばやし しげき,自由民主党,自由民主党・無所属の会,奈良1,5,2026-05-19
小林修平,こばやし しゅうへい,チームみらい,チームみらい,（比）南関東,1,2026-05-19
小林鷹之,こばやし たかゆき,自由民主党,自由民主党・無所属の会,千葉2,6,2026-05-19
小林史明,こばやし ふみあき,自由民主党,自由民主党・無所属の会,広島6,6,2026-05-19
小森卓郎,こもり たくお,自由民主党,自由民主党・無所属の会,石川1,3,2026-05-19
今洋佑,こん ようすけ,自由民主党,自由民主党・無所属の会,（比）北陸信越,1,2026-05-19
近藤和也,こんどう かずや,中道改革連合,中道改革連合・無所属,（比）北陸信越,5,2026-05-19
近藤雅彦,こんどう まさひこ,国民民主党,国民民主党・無所属クラブ,（比）九州,1,2026-05-19
後藤茂之,ごとう しげゆき,自由民主党,自由民主党・無所属の会,長野4,9,2026-05-19
後藤祐一,ごとう ゆういち,中道改革連合,中道改革連合・無所属,（比）南関東,7,2026-05-19
斉木武志,さいき たけし,自由民主党,自由民主党・無所属の会,福井2,4,2026-05-19
西條昌良,さいじょう まさよし,自由民主党,自由民主党・無所属の会,（比）北関東,1,2026-05-19
斎藤アレックス,さいとう あれっくす,日本維新の会,日本維新の会,（比）近畿,3,2026-05-19
齋藤健,さいとう けん,自由民主党,自由民主党・無所属の会,千葉7,7,2026-05-19
斉藤鉄夫,さいとう てつお,中道改革連合,中道改革連合・無所属,（比）中国,12,2026-05-19
斎藤洋明,さいとう ひろあき,自由民主党,自由民主党・無所属の会,新潟3,6,2026-05-19
斉藤りえ,さいとう りえ,自由民主党,自由民主党・無所属の会,（比）東海,1,2026-05-19
坂井学,さかい まなぶ,自由民主党,自由民主党・無所属の会,神奈川5,7,2026-05-19
坂本哲志,さかもと てつし,自由民主党,自由民主党・無所属の会,熊本3,9,2026-05-19
坂本竜太郎,さかもと りゅうたろう,自由民主党,自由民主党・無所属の会,福島4,2,2026-05-19
笹川博義,ささがわ ひろよし,自由民主党,自由民主党・無所属の会,群馬3,6,2026-05-19
佐々木紀,ささき はじめ,自由民主党,自由民主党・無所属の会,石川2,6,2026-05-19
佐々木真琴,ささき まこと,国民民主党,国民民主党・無所属クラブ,（比）東北,1,2026-05-19
佐藤英道,さとう ひでみち,中道改革連合,中道改革連合・無所属,（比）北海道,6,2026-05-19
佐藤主迪,さとう まさし,自由民主党,自由民主党・無所属の会,神奈川16,1,2026-05-19
塩川鉄也,しおかわ てつや,日本共産党,日本共産党,（比）北関東,10,2026-05-19
塩崎彰久,しおざき あきひさ,自由民主党,自由民主党・無所属の会,愛媛1,3,2026-05-19
重徳和彦,しげとく かずひこ,中道改革連合,中道改革連合・無所属,（比）東海,6,2026-05-19
